"rent, rub/month",full_address,city,"price_per_sqm, rub/month","square, m^2",type,url
3335000,"улица Большевистская, 5",Новосибирск,2300,1450,Универсальное помещение,https://novosibirsk.n1.ru/view/114885594/?open_card_kn
14260000,"улица Большевистская, 5",Новосибирск,2300,6200,Универсальное помещение,https://novosibirsk.n1.ru/view/114885593/?open_card_kn
150800,"улица Лескова, 33",Новосибирск,1300,116,Универсальное помещение,https://novosibirsk.n1.ru/view/109443471/?open_card_kn
300000,"Красный проспект, 234",Новосибирск,1000,300,Универсальное помещение,https://novosibirsk.n1.ru/view/113457414/?open_card_kn
28000,"улица Кирова, 113",Новосибирск,1120,25,Универсальное помещение,https://novosibirsk.n1.ru/view/107732851/?open_card_kn
62500,"проспект Ленина, 85",Новосибирск,2500,25,Универсальное помещение,https://novosibirsk.n1.ru/view/113455327/?open_card_kn
85000,"улица Ленинградская, 101",Новосибирск,515,165,Универсальное помещение,https://novosibirsk.n1.ru/view/111590508/?open_card_kn
25000,"улица Фадеева, 66",Новосибирск,833,30,Универсальное помещение,https://novosibirsk.n1.ru/view/115573765/?open_card_kn
264500,"Красный проспект, 99",Новосибирск,2300,115,Универсальное помещение,https://novosibirsk.n1.ru/view/115573764/?open_card_kn
89000,"улица Большевистская, 88",Новосибирск,2000,44,Универсальное помещение,https://novosibirsk.n1.ru/view/115573763/?open_card_kn
65000,"улица 2-я Станционная, 5",Новосибирск,216,300,Универсальное помещение,https://novosibirsk.n1.ru/view/115211608/?open_card_kn
150000,"улица Восход, 9",Новосибирск,852,176,Универсальное помещение,https://novosibirsk.n1.ru/view/115572677/?open_card_kn
60000,"улица Ипподромская, 54",Новосибирск,1200,50,Универсальное помещение,https://novosibirsk.n1.ru/view/115572676/?open_card_kn
256000,"улица Большевистская, 132",Новосибирск,2000,128,Универсальное помещение,https://novosibirsk.n1.ru/view/115572675/?open_card_kn
264000,"улица Армавирская, 1",Новосибирск,1100,240,Универсальное помещение,https://novosibirsk.n1.ru/view/111144827/?open_card_kn
636004,"улица Электрозаводская, 4",Новосибирск,799,796,Универсальное помещение,https://novosibirsk.n1.ru/view/115197963/?open_card_kn
3120000,"Карла Маркса площадь, 1",Новосибирск,1200,2600,Универсальное помещение,https://novosibirsk.n1.ru/view/115197156/?open_card_kn
290000,"улица Николая Островского, 249",Новосибирск,500,580,Универсальное помещение,https://novosibirsk.n1.ru/view/115196764/?open_card_kn
59500,"улица Военная, 51",Новосибирск,3500,17,Универсальное помещение,https://novosibirsk.n1.ru/view/114171310/?open_card_kn
117500,"улица Военная, 51",Новосибирск,2500,47,Универсальное помещение,https://novosibirsk.n1.ru/view/114171311/?open_card_kn
199500,"улица Семьи Шамшиных, 93",Новосибирск,2100,95,Универсальное помещение,https://novosibirsk.n1.ru/view/115195545/?open_card_kn
196000,"улица Залесского, 5",Новосибирск,1400,140,Универсальное помещение,https://novosibirsk.n1.ru/view/115194673/?open_card_kn
2494276,"улица Максима Горького, 10",Новосибирск,9307,268,Универсальное помещение,https://novosibirsk.n1.ru/view/113779257/?open_card_kn
3300,"проспект Владимира Заровного, 22",Новосибирск,660,5,Универсальное помещение,https://novosibirsk.n1.ru/view/115923512/?open_card_kn
302500,"улица 2-я Станционная, 30",Новосибирск,550,550,Универсальное помещение,https://novosibirsk.n1.ru/view/113050295/?open_card_kn
371000,"Бердское шоссе, 63",Новосибирск,700,530,Универсальное помещение,https://novosibirsk.n1.ru/view/115571423/?open_card_kn
40000,"улица Федора Горячева, 63",Новосибирск,370,108,Универсальное помещение,https://novosibirsk.n1.ru/view/115571165/?open_card_kn
450000,"улица Фрунзе, 59",Новосибирск,700,642,Универсальное помещение,https://novosibirsk.n1.ru/view/113778893/?open_card_kn
27000,"Микрорайон 3-й, 15",Новосибирск,1285,21,Универсальное помещение,https://novosibirsk.n1.ru/view/115571143/?open_card_kn
37999,"улица Виктора Уса, 15",Новосибирск,474,80,Универсальное помещение,https://novosibirsk.n1.ru/view/115570911/?open_card_kn
225000,"улица Сакко и Ванцетти, 77",Новосибирск,2250,100,Универсальное помещение,https://novosibirsk.n1.ru/view/114501859/?open_card_kn
100000,"улица Ипподромская, 12",Новосибирск,2127,47,Универсальное помещение,https://novosibirsk.n1.ru/view/115923136/?open_card_kn
